page	header	sub	nlines
225	SP O R TS • I FS S P O R T S • DER SPORT • L O S D E P O R T E S • GU SPORT	swimming • la natation • der Schwimmsport • la natación • il nuoto	69
226	SP O R TS • I .ES S P O R T S • DER SPORT • L O S D E P O R T E S • GLI SPORT	styles • les styles • die Schwimmstile • los estilos • gli stili	112
227	SPO R TS • L E S S P O R T S • DER SPORT • LOS DEPORTES • GLI SPORT	sailing • la voile • der Segelsport • la vela • la vela	83
228	SP O R TS • LES S P O R T S • DER SPORT • L O S D E P O R T E S • GLI SPORT	watersports • les sports aquatiques • der Wassersport • los deportes acuáticos • gli sport acquatici	127
229	SP O R TS • I KS SPORTS • DER SPORT • LOS DEPORTES • GLI SPORT	—	101
230	SPO R TS • L E S SPORTS • DER SPORT • LOS DEPORTES • GLI SPOR I	events • Ics courses • die Veranstaltungen • las modalidades • le corse	90
231	SPO R TS • L h S S P O R T S - DER SPORT • L O S DEPORTES • GLI SPORT	fishing • la peche • der Angelsport • la pesca • la pesca	60
232	SP O R TS • I HS SPORTS • DER SPORT • L O S DEPORTES • GU SPORT	—	87
233	SP O R TS • LES S P O R T S • DER SPORT • LOS DEPORTES • GL! SPORT	skiing • le sk i • der Skisport • el esquí • lo sci	58
234	SP O R TS • I BS S P O R T S • DER SPORT • LOS DEPORTES » GLI SPORT	—	97
235	SPORTS • I ES SPORTS • DER SPORT • LOS DEPORTES • GLI SPORT	other sports • les antres sports • die anderen Sportarten • los otros	36
236	SPO R TS • LES SPORTS • DER SPORT • LOS DEPORTES • GLI SPORT	rally driving • le rallye • das	98
237	SPO R TS • L E S S P O R T S • DER SPORT • L O S D E P O R T E S • GLI SPORT	fitness • le conditionnement physique • die Fitness • la forma fisica	55
238	SPO R TS • LU S S P O R T S • DER SPORT • L O S D E P O R T E S • GLI SPORT	exercises • les exercices • die Übungen • los ejercicios	117
239	—	—	5
240	LEIS U R E • LE TEM PS LIB R E • DIE FREIZEIT • EL O C IO • IL TEM P O LIB ER O	theater • le théâtre • das Theater • el teatro • ¡I teatro	134
241	LEISU R E • LE TEM PS LIB R E • DIE FREIZEIT • EL O C IO • IL TEM P O LIB ER O	—	128
242	LEISU R E • LE TEM PS LIB R E • DIE FREIZEIT • EL O C IO • IL TEM P O LIB ER O	orchestra • l’orchestre • das Orchester • la orquesta • l'orchestra	125
243	LEISU R E • LE TEM PS LIB R E • DIE FREIZEIT • EL O C IO • IL T EM P O LIB ER O	woodwind • les bois • die Holzblasinstrumente • el viento-madera • gli strumenti a fiato	78
244	LEISU R E • LE T E M P S UBRE • DIE FREIZEIT • EL O C IO • IL TEMPO LIBERO	concert • le concert • das Konzert • el concierto • il concerto	84
245	LEISU R E • L E TEMPS LIBRE • DIE FREIZEIT • E L O C IO • IL TEMPO UBERO	musical styles • les styles de musique • die Musikstile • los estilos musicales • gli stili musicali	56
246	LEISU R E • I.E TEMPS UBRE • DIE FREIZEIT • EL O C IO • IL TEMPO LIBERO	sightseeing • le tourisme • die Besichtigungstour • el turismo	106
247	LEISU R E • T F. T E M P S L IB R E • DIE FREIZEIT • E L O C IO • IL TEMPO LIBERO	attractions • les attractions • die Sehenswürdigkeiten • los lugares de interés • i luoghi d'interesse	58
248	LEISU R E • Lfc T E M P S L IB R E • DIE FREIZEIT • E L O C IO • IL TEMPO LIBERO	outdoor activities • les activités de plein air • die Aktivitäten im Freien	48
249	LEISU R E • L E T E M P S I IR R E • DIE FREIZEIT • E L O C IO • IL TEMPO LIBERO	activities • les activités • die Aktivitäten • las actividades • le attività	55
250	LEISU R E • L E T E M P S L IB R E • DIE FREIZEIT • E L O C IO • IL TEMPO LIBERO	beach • la plage • der Strand • la playa • la spiaggia	30
251	LEISU R E • L E T E M P S U B R E • DIE FREIZEIT • E L O C IO • Il TEMPO LIBERO	—	74
252	LEISU R E • LE TEM PS LIB R E • DIE FREIZEIT • EL O C IO • IL TEM P O LIBER O	camping • le camping • das Camping • el camping	124
253	LEISU R E • LE TEM PS LIBR E • DIE FREIZEIT • EL O C IO • IL TEM P O LIB ER O	—	66
254	LEISU R E • l.E TEMPS L IB R E • DIE FREIZEIT • E l. O C IO • IL TEMPO LIBERO	home entertainm ent • les distractions à la maison • die Privatunter­	68
255	LEISU R E • L E T E M P S L IB R E • DIE FREIZEIT • E L O C IO • IL TEMPO LIBERO	—	150
256	LEISURE • LE TEMPS LIBRE • DIE FREIZEIT • EL O CIO • IL TEMPO LIBERO	photography • la photographie • die Fotografie • la fotografía	70
257	LEISU R E • LE TEM PS LIBR E • D IE F R E IZ E IT • EL O C IO • IL TEM PO LIB ER O	photograph (v) • photographier • fotografieren • fotografiar • fotografare	92
258	LEISU R E • LE TEM PS LIB R E • D IE F R E IZ E IT • EL O C IO • IL TEM P O LIBER O	games • les jeux • die Spiele • los juegos • i giochi	76
259	LEISU R E • LE TEM PS LIB R E • D IE F R E IZ E IT • EL O C IO • IL T EM P O LIB ER O	—	167
260	LEIS U R E • LE TEM PS LIB R E • DIE FREIZEIT • EL O C IO • IL T EM P O LIB ER O	arts and crafts I • les arts et métiers 1 • das Kunsthandwerk 1	85
261	LEISU R E • LE TEM PS LIBR E • DIE FREIZEIT • EL O C IO • IL TEM P O LIB ER O	other crafts • les autres arts • andere Kunstfertigkeiten • las otras maniialidades • altri lavori artigianali	102
262	LEISU R E • I H T E M P S L IB R E • DIE FREIZEIT • E L O C IO • IL TEMPO LIBERO	arts and crafts 2 • les arts et métiers 2 • das Kunsthandwerk 2	97
263	LEISU R E • L E T E M P S LIBRE • DIE FREIZEIT • EL OCIO • IL TEMPO LIBERO	—	126
264	—	—	7
265	E N V IR O N M E N T • T.’ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	space • l’espace • der Weltraum • el espado • lo spazio	129
266	EN V IR O N M E N T • L'ENVIRONNEMENT • DIE UMWELT • E L M E D IO AMBIENTE • LAM BIENTE	space exploration • l’exploration spatiale • die Raumforschung	77
267	E N V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • EL MF.DIO AMBIENTE • LAM BIENTE	Earth • la terre • die Erde • la Tierra • la Terra	74
268	E N V IR O N M E N T • L'ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	volcano • le volcan • der Vulkan • el volcán • ¡I vulcano	101
269	E N V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • LAM BIENTE	landscape • le paysage • die Landschaft • el paisaje • ¡I paesaggio	44
270	E N V IR O N M E N T • L'EN V IRO N N EM EN T • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	plain • la plaine • die Ebene	42
271	E N V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	—	148
272	E N V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • LAM BIENTE	ram • la pluie • der Regen • la llu via	38
273	E N V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • E L MEDIO AMBIENTE • LAM BIENTE	rocks • les roches • das Gestein • las rocas • le rocce	126
274	EN V IR O N M E N T • L'ENVIRONNEMENT • DIE UMWELT • EL MEDIO A M B IE N T E • L AMBIENTE	minerals • les minéraux • die Mineralien	68
275	E N V IR O N M E N T • I .'ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	—	80
276	EN V IR O N M E N T • L ’ENVIRONNEMENT • DIE UMWELT • E L MEDIO A M RI ENTE • L'AMBIENTE	—	88
277	EN V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • 1£L M E D IO AMBIENTE • L’AMBIENTE	animals 2 • les animaux 2 • die Tiere 2 • los animales 2 • gli animali 2	63
278	E N V IR O N M E N T • L’ENVIRONNEMENT • DIE UMWELT • EL M E D IO AMBIENTE • L'AMBIENTE	goose • l’oie • die Gans	77
279	animals 3 • les animaux 3 • die Tiere 3 • los animales 3 • gli animali 3	amphibians • les amphibiens • die Amphibien • los anfibios • gli anfibi	66
280	E N V IR O N M E N T • l 'E N V IR O N N E M E N T • DIE UMWELT • E L M E D IO A M B IE N T E • L'AMBIENTF	—	112
281	E N V IR O N M E N T • 1.'ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	—	78
282	E N V IR O N M E N T • U EN V I R O N N H M K NT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	flowering plant • la piante à fleurs • die blühende Pflanze	90
283	E N V IR O N M E N T • L ’ E N V IR O N N E M K N T • DIE UMWELT • FT, M E D IO A M B IE N T E • L’AMBIENTE	town • la ville • die Stadt • la ciudad • la città	80
284	EN V IR O N M E N T • L 'E N V IR O N N E M E N T • DIE UMWELT • E l M E D IO A M B IE N T E • L’AMBIENTE	buildings • les bâtiments • die Gebäude • los edificios • gli edifici	86
285	E N V IR O N M E N T • ['ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • L'AMBIENTE	church • l'église • die Kirche	78
286	E N V IR O N M E N T • L'ENVIRONNEMENT • DIE UMWELT • EL MEDIO AMBIENTE • LAM BIENTE	Ics styles • die Baustile • los estilos	51
287	—	—	10
288	R E FE R E N C E • I N F O R M A T I O N • DIE INFORMATION • L O S D A T O S • I DATI	time • l’heure • die Uhrzeit • el tiempo • l'ora	123
289	REFERENCE • L’I N F O R M A T I O N • DIE INFORMATION • L O S D A TO S • I DATI	night and day • la nuit et le jour • die Nacht und der Tag • la noche y	91
290	REFERENCE • L’I N F O R M A T I O N • DIE INFORMATION • LO S D A T O S • I DATI	calendar • le calendrier • der Kalender • el calendario • il calendario	137
291	R E F E R E N C E • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	years • les ans • die Jahre • los años • gli anni	64
292	R E FE R E N C E • L’ IN F O R M A T IO N • DIE INFORMATION • L O S D A T O S • I DATI	numbers • les nombres • die Zahlen • los números • i numeri	106
293	R E FE R E N C E • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	—	115
294	R EFE R E N C E • L 'IN F O R M A T IO N • DIE INFORMATION • L O S D A T O S • I DATI	—	106
295	R E FE R E N C E • L 'IN F O R M A T IO N • DIE INFORMATION • L O S D A T O S • I DAfl	capacity • la capacité • das Fassungsvermögen • la capacidad • la capacita	91
296	R E F E R E N C E • L 'IN F O R M A T IO N • DIE INFORMATION • L O S D A T O S • I DATI	—	71
297	R E FE R E N C E • L 'IN F O R M A T IO N • DIE INFORMATION • L O S D A T O S • I DATI	—	59
298	REFERENCE • L’I N F O R M A T I O N • DIE INFORMATION • L O S D A T O S • I DATI	—	68
299	R E F E R E N C E • L'INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	—	96
300	REFERENCE • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	Europe • l’Europe • Europa • Europa • l'Europa	174
301	R E F E R E N C E • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	Africa • l’Afrique • Afrika • Àfrica • l'Africa	160
302	REFERENCE • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	Asia • l’Asie • Asien • Asia • l'Asia	73
303	REFERENCE • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DAII	—	54
304	particles and antonyms • particules et antonymes • Partikeln und	Antonyme • partículas y antónimos • particelle e antonim i	206
305	R E FE R E N C E • L’ IN F O R M A T IO N • DIE INFORMATION • L O S D A T O S • I DATI	—	202
306	useful phrases • phrases utiles • praktische Redewendungen	—	182
307	REFERENCE • L’INFORMATION • DIE INFORMATION • LOS DATOS • I DATI	—	203
308	SPA N ISH IN D E X • IN D E X E S P A G N O L • SPANISCHES REGISTER • ÍN D IC E E S P A Ñ O L • INDICE SPAGNOLO	Spanish index • index espagnol • spanisches Register • índice	360
309	SPA N ISH IN D E X • IN D E X E S P A G N O L • SPANISCHES REGISTER • IN D IC E E S P A Ñ O L • INDICE SPAGNOLO	—	388
310	SPA N ISH IN D E X • IN D E X E S P A G N O L • SPANISCHES REGISTER • ÍN D IC E E S P A Ñ O L • INDICE SPAGNOLO	—	386
311	SPA N ISH IN D E X • IN D E X E S P A G N O L • SPANISCHES REGISTER • IN D IC E E S P A Ñ O L • INDICE 5PAGN 0L0	—	388
312	SPA N ISH IN D E X • INDEX ESPAGNOL • SPANISCHES REGISTER • ÍNDICE ESPAÑOL • INDICE SPAGNOLO	—	383
313	SPA N ISH IN D E X • INDEX ESPAGNOL • SPANISCHES REGISTER • INDICE ESPAÑOL • INDICE SPAGNOLO	—	384
314	SPA N ISH IN D E X • IN D E X E S P A G N O L • SPANISCHES REGISTER • ÍN D IC E E S P A Ñ O L • INDICE SPAGNOLO	—	379
315	SPA N ISH IN D E X • IN D E X E S P A G N O l * SPANISCHES REGISTER • ÍN D IC E E S P A Ñ O L • INDICE SPAGNOLO	—	382
316	SPA N ISH IN D E X • IN D E X ESPAGNOL • SPANISCHES REGISTER • IN D IC E ESPAÑOL ■ INDICE SPAGNOLO	—	383
317	SPA N ISH IN D E X • IN D E X ESPAGNOL • SPANISCHES REGISTER • INDICE ESPAÑOL • INDICE SPAGNOLO	—	379
318	SPANISH INDEX • INDEX ESPAGNOL • SPANISCHES REGISTER • ÍNDICE ESPAÑOL • INDICE SPAGNOLO	—	381
319	5PA N ISH IN D E X • IN D K X E S P A G N O L • SPANISCHES REGISTER • ÍNDICE ESPAÑOL • INDICE SPAGNOLO	—	387
320	SPANISH INDEX • INDEX ESPAGNOL • SPANISCHES REGISTER • INDICE ESPAÑOL • INDICE SPAGNOLO	—	386
321	SPA N ISH IN D E X • IN D I X E S P A G N O L • SPANISCHES REGISTER • IN D IC E ES P A Ñ O L. • INDICE SPAGNOLO	—	381
322	SPA N ISH IN D E X • IN D E X E S P A G N O L • SPANISCHES REGISTER • ÍN D IC E E S P A Ñ O L • INDICE SPAGNOLO	—	376
323	—	SPA N ISH IN D E X • IN D E X E S P A G N O I • SPANISCHES REGISTER • IN D IC E E S P A Ñ O L • INDICE SPAGNOLO	24
324	A C K N O W L E D G M E N T S • R E M E R C IE M E N T S • DANK • A G R A D E C IM IE N T O S • RINGRAZIAM ENTI	acknowledgm ents • remerciements • Dank • agradecimientos	158
325	ENGLISH • FRENCH • GERMAN • SPANISH • ITALIAN	—	41
